Property Name,Property Cost,Property Type,Property Area,Property Locality
Conscient Elevate,₹ 2.53 - 46.71 Cr,3 BHKApartment,N/A,Grand Hyatt GurgaonInternational Tech Park GurgaonW Pratiksha Hospital Sector 56ZEN Golf Range & AcademyParas Trinity Mall Sector 63
Signature Global City 93,₹ 89.95 L - 2.49 Cr,2 BHKIndependent Floor,(91.14 - 103.87 sq.m.),Pataudi RoadHoliday Inn Gurugram Sector 90RPS International SchoolGarhi Harsaru JunctionS S Omnia
Tulip Monsella,₹ 7 - 7.22 Cr,3 BHKApartment,(152.18 - 152.92 sq.m.),"Mavens InnSanar International HospitalCentral Plaza MallSector 53-54 Metro StationIILM University, Gurugram"
Smartworld One DXP,₹ 2.4 Cr,2 BHKApartment,(127.28 sq.m.),Palam Vihar HaltDPSG Palam ViharPark HospitalGurgaon Railway StationThe NorthCap University
Signature Global City 92,₹ 81.75 L - 2.39 Cr,2 BHKIndependent Floor,(89.09 - 106.37 sq.m.),Royal Institute Of Science & ManagementPataudi RoadHoliday Inn Sector 90RPS International SchoolGarhi Harsaru Junction
Bestech Altura,₹ 1.73 - 2.03 Cr,3 BHKApartment,(187.2 - 199.74 sq.m.),"Mount Olympus Junior SchoolMiracles Apollo HospitalSapphire 83 MallNH -8Savoy Suites, Manesar"
Signature Global City 81,₹ 80.01 L - 1.75 Cr,2 BHKIndependent Floor,(50.74 sq.m.),St. Xavier's High SchoolMiracles Apollo CradleAmbience Mall NewNakhrola StadiumDwarka Expressway
Elan The Presidential,₹ 1.85 - 9.62 Cr,3 BHKApartment,(125.14 - 241.55 sq.m.),"Dwarka ExpresswayEuro International School, Sector- 109Rion's HospitalGurgaon Railway StationManipal Hospital, Palam Vihar"
Signature Global City 63A,₹ 1.27 - 3.48 Cr,2 BHKIndependent Floor,(97.55 - 158.03 sq.m.),"Paras Trinity MallAIPL Business ClubRed Fox Hotel, Sector 60, GurgaonThe Shriram Millennium SchoolTau DeviLal Sports Complex"
Mahindra Luminare,₹ 5.2 - 13.05 Cr,3 BHKApartment,(142.56 - 281.5 sq.m.),Grand Hyatt GurgaonDuke Horse Riding ClubPVR Drive In CinemaW Pratiksha HospitalSector 55-56 Metro Station
Shapoorji Pallonji Joyville Gurugram,₹ 95 L - 1.97 Cr,2 BHKApartment,(200.86 - 241.55 sq.m.),"Delhi Public School, Sector 102ABasai Dhankot Railway StationPark Inn, GurgaonDwarka ExpresswayThe Esplanade Mall"
DLF The Arbour,₹ 7.31 - 7.87 Cr,4 BHKApartment,(366.97 sq.m.),WorldMark Mall GurgaonCapital CyberscapeThe Shriram Millennium SchoolDoubleTree by Hilton HotelSector 55-56 Metro Station
Signature Global City 79B,₹ 88.82 L - 1.8 Cr,2 BHKIndependent Floor,(98.01 sq.m.),"Nakhrola StadiumHeritage Village Resort & Spa, ManesarDelhi-Jaipur ExpresswayVatika Town Square-INXTEuro International School, Sector 84"
Godrej Meridien,₹ 1.98 Cr,1 BHKApartment,(140.28 sq.m.),"Dwarka ExpresswayEuro International School, Sector- 109Gurgaon Railway StationGurgaon Dreamz MallDev Hospital"
Fusion The Rivulet,₹ 83.31 - 86.4 L,2 BHKApartment,(53.85 sq.m.),GD Goenka International SchoolGrand Trunk RoadYatharth Super Speciality HospitalJIMS Noida Extension CollegeKyndryl IBM
SS Linden Floors,₹ 2 - 2.51 Cr,4 BHKIndependent Floor,(138.2 - 144.74 sq.m.),Delhi Public SchoolElan Miracle MallDwarka ExpresswayHoliday Inn Gurugram Sector 90Miracles Apollo Cradle Spectra Hospital
